,area,mean_intensity,eccentricity,major_axis_length,perimeter,max_intensity,circularity
63,589,75.99830220713073,0.8199994940850798,36.44924523072547,94.91168824543144,105,0.8216479231137531
64,559,79.47227191413238,0.7028212330215379,31.67832871743908,88.42640687119285,129,0.8983751192341599
65,624,69.71474358974359,0.7005921972688609,33.72889857816424,94.08326112068524,92,0.8858694575812722
66,187,97.75935828877006,0.4886856803421306,16.778883469894215,49.55634918610404,128,0.9568698303536319
67,371,114.09433962264151,0.5073469556970541,23.471967691297653,70.28427124746189,198,0.9437728537560598
68,495,111.3979797979798,0.9301692188555271,42.692364399246266,105.4558441227157,252,0.5593372698205669
69,323,87.50464396284829,0.6818265327231086,23.89846914934747,68.90559159102155,132,0.8548766498829525
70,481,84.8066528066528,0.788105543759929,31.809211589882622,85.01219330881976,137,0.8363585446223529
71,586,73.1740614334471,0.7811206005547725,34.669899649354484,90.5685424949238,113,0.8977444367231862
72,827,100.02902055622732,0.6771453147003063,38.785193375484276,113.01219330881976,203,0.8137008435754252
73,628,88.14808917197452,0.7186504439991681,34.3026766811868,95.59797974644667,133,0.8635193597863836
74,120,90.61666666666666,0.6717623230855372,14.724879039732174,40.970562748477136,130,0.8983534740877455
75,515,85.7009708737864,0.6684673524790135,29.91157988017319,84.66904755831214,122,0.9027505136762467
76,482,83.76970954356847,0.6944785033456459,29.35129943208419,81.84062043356595,122,0.9043136287317832
77,358,109.50279329608938,0.75073415041589,26.480736985275193,71.25483399593904,173,0.8860622321127699
78,744,97.56586021505376,0.7219036164322905,37.074964515408574,102.66904755831214,153,0.8869593846639119
79,416,100.69711538461539,0.6652896640202114,26.8703431321945,76.2842712474619,156,0.8983243900646511
80,688,87.66424418604652,0.6669634083074839,34.522002796362706,102.5685424949238,142,0.8218071847934413
81,504,78.61111111111111,0.7331116918498942,31.26942915102353,85.84062043356595,123,0.8595174626608643
82,382,104.78795811518324,0.5489274567517013,24.264370429265227,71.84062043356595,154,0.9301073540943587
